"Project name","Tee Fusion"
"Date range","02/01/2025 12:00 AM - 08/04/2025 11:59 PM"


"Total sessions","561"

"Date","Time","Session duration","Entry URL","Exit URL","Referrer:","Clarity user ID","Browser","Device","OS","Country","Page count","Session clicks","Favorite","Recording link"
"08/04/2025","03:28 PM","01:15","https://teefusion.co.in/product/oversized-t-shirt-men-acid-wash-tidy-titans/","https://teefusion.co.in/product/oversized-t-shirt-men-acid-wash-tidy-titans/","https://teefusion.co.in/shop/?orderby=price-desc&utm_medium=paid&utm_source=an&utm_id=120229197829000711&utm_content=120229197830060711&utm_term=120229197829110711&utm_campaign=120229197829000711&fbclid=IwY2xjawL9XdJleHRuA2FlbQEwAGFkaWQBqyPRrgsbtwEe-zHKKpE9f3tqHj_htVFeTOc4z3xLG2VYEBul9Uq1JGC1C9RlJIg2bqhFp0w_aem_lpXoaIOyAkMvYDghjwpYWQ","13zmhb0","ChromeMobile","Mobile","Android","India","1","2","FALSE","https://clarity.microsoft.com/player/rs3elcrxca/13zmhb0/ovfttb/?ss=1754301488000&sd=75"
"08/04/2025","03:07 PM","00:53","https://teefusion.co.in/shop/?orderby=price-desc&utm_medium=paid&utm_source=an&utm_id=120229197829000711&utm_content=120229197830060711&utm_term=120229197829110711&utm_campaign=120229197829000711&fbclid=IwY2xjawL9XlJleHRuA2FlbQEwAGFkaWQBqyPRrgsbtwEefTv4YOx96aMI9wk9rZ8o1vXjHeXBGk39mZgrIWyfrPOu6CNvYKvlcA4u7uA_aem_lroNX8akunAgvgrEJGoTtA","https://teefusion.co.in/product/oversized-t-shirt-men-acid-wash-tidy-titans/","https://l.facebook.com/","1d7yxnk","ChromeMobile","Mobile","Android","India","2","2","FALSE","https://clarity.microsoft.com/player/rs3elcrxca/1d7yxnk/1f0hll/?ss=1754300221000&sd=53"
"08/04/2025","02:53 PM","02:52","https://teefusion.co.in/","https://teefusion.co.in/","","xq37iy","Chrome","PC","Windows","Vietnam","1","1","FALSE","https://clarity.microsoft.com/player/rs3elcrxca/xq37iy/1to14tf/?ss=1754299431000&sd=172"
"08/04/2025","01:49 PM","03:10","https://teefusion.co.in/product/oversized-t-shirt-men-acid-wash-tidy-titans/","https://teefusion.co.in/product/oversized-t-shirt-men-acid-wash-tidy-titans/","https://teefusion.co.in/shop/?orderby=price-desc&utm_medium=paid&utm_source=an&utm_id=120229197371680711&utm_content=120229197372150711&utm_term=120229197372060711&utm_campaign=120229197371680711&fbclid=IwY2xjawL9TFtleHRuA2FlbQEwAGFkaWQBqyPRfebjtwEeljOXkyQOaxegl3PSQ-lMhWlEnGcaGXJoR-7p6fdWPcWaHV-eheQGvRq4CuU_aem_WRR7CyHg1Z78r0nTXGAryA","15xf8vx","ChromeMobile","Mobile","Android","India","1","10","FALSE","https://clarity.microsoft.com/player/rs3elcrxca/15xf8vx/fwwnre/?ss=1754295575000&sd=190"
"08/04/2025","12:22 PM","02:35","https://teefusion.co.in/product/oversized-t-shirt-men-acid-wash-tidy-titans/","https://teefusion.co.in/product/oversized-t-shirt-men-acid-wash-tidy-titans/","https://teefusion.co.in/shop/?orderby=price-desc&utm_medium=paid&utm_source=an&utm_id=120229197829000711&utm_content=120229197830060711&utm_term=120229197829110711&utm_campaign=120229197829000711&fbclid=IwY2xjawL9N8dleHRuA2FlbQEwAGFkaWQBqyPRrgsbtwEeydOHZu2qBR9DU9YCHQxx2Az8o6e3xzAQYUrZ708uioB6BIejjhwKcvvOff0_aem_qwsqZQgHyzQCYdP4nM4_tA","bpltz1","ChromeMobile","Mobile","Android","India","1","0","FALSE","https://clarity.microsoft.com/player/rs3elcrxca/bpltz1/h8vd2p/?ss=1754290363000&sd=155"
"08/04/2025","11:47 AM","01:00","https://teefusion.co.in/product/oversized-t-shirt-men-acid-wash-tidy-titans/","https://teefusion.co.in/product/oversized-t-shirt-men-acid-wash-tidy-titans/","https://teefusion.co.in/shop/?orderby=price-desc&utm_medium=paid&utm_source=an&utm_id=120229197829000711&utm_content=120229197830060711&utm_term=120229197829110711&utm_campaign=120229197829000711&fbclid=IwY2xjawL9L6dleHRuA2FlbQEwAGFkaWQBqyPRrgsbtwEe8mtMLu81OW8L3JqaMvgGH7LnpAdJVARZIkh6GccdKP-dVQiBAZ6RcQffjCs_aem_AxS3ZHdA5SRT3HEEJRYpsA","1u797mf","ChromeMobile","Mobile","Android","India","1","1","FALSE","https://clarity.microsoft.com/player/rs3elcrxca/1u797mf/6honjs/?ss=1754288224000&sd=60"
"08/04/2025","11:46 AM","00:05","https://teefusion.co.in/product/oversized-t-shirt-men-acid-wash-tidy-titans/","https://teefusion.co.in/product/oversized-t-shirt-men-acid-wash-tidy-titans/","https://teefusion.co.in/shop/?orderby=price-desc&utm_medium=paid&utm_source=an&utm_id=120229197829000711&utm_content=120229197830060711&utm_term=120229197829110711&utm_campaign=120229197829000711&fbclid=IwY2xjawL9L41leHRuA2FlbQEwAGFkaWQBqyPRrgsbtwEecNw0oJceEtLdFZqk8-WsHot7MVbgLHdH4ab-Z7rBVjGf5RBHOZo85xcqzHI_aem_mrA_7qKkoAW0vZCUsC53aQ","1e47e7i","ChromeMobile","Mobile","Android","India","1","7","FALSE","https://clarity.microsoft.com/player/rs3elcrxca/1e47e7i/16n6lpz/?ss=1754288200000&sd=5"
"08/04/2025","11:46 AM","00:31","https://teefusion.co.in/shop/?orderby=price-desc&utm_medium=paid&utm_source=an&utm_id=120229197829000711&utm_content=120229197830060711&utm_term=120229197829110711&utm_campaign=120229197829000711&fbclid=IwY2xjawL9LzpleHRuA2FlbQEwAGFkaWQBqyPRrgsbtwEe8mtMLu81OW8L3JqaMvgGH7LnpAdJVARZIkh6GccdKP-dVQiBAZ6RcQffjCs_aem_AxS3ZHdA5SRT3HEEJRYpsA","https://teefusion.co.in/shop/?orderby=price-desc&utm_medium=paid&utm_source=an&utm_id=120229197829000711&utm_content=120229197830060711&utm_term=120229197829110711&utm_campaign=120229197829000711&fbclid=IwY2xjawL9LzpleHRuA2FlbQEwAGFkaWQBqyPRrgsbtwEe8mtMLu81OW8L3JqaMvgGH7LnpAdJVARZIkh6GccdKP-dVQiBAZ6RcQffjCs_aem_AxS3ZHdA5SRT3HEEJRYpsA","https://l.facebook.com/","1u797mf","ChromeMobile","Mobile","Android","India","1","0","FALSE","https://clarity.microsoft.com/player/rs3elcrxca/1u797mf/1dz8sad/?ss=1754288172000&sd=31"
"08/04/2025","08:20 AM","00:08","https://teefusion.co.in/shop/?orderby=price-desc&utm_medium=paid&utm_source=an&utm_id=120229197829000711&utm_content=120229197830060711&utm_term=120229197829110711&utm_campaign=120229197829000711&fbclid=IwY2xjawL8_1FleHRuA2FlbQEwAGFkaWQBqyPRrgsbtwEeFlbSwrbT7saHrqZNB3_Oxx7zyNv5gE1klaHslLM1sqNFsB1Drt24vWt5BM4_aem_1865n0vlQ0d9cMMxSSQJsw","https://teefusion.co.in/shop/?orderby=price-desc&utm_medium=paid&utm_source=an&utm_id=120229197829000711&utm_content=120229197830060711&utm_term=120229197829110711&utm_campaign=120229197829000711&fbclid=IwY2xjawL8_1FleHRuA2FlbQEwAGFkaWQBqyPRrgsbtwEeFlbSwrbT7saHrqZNB3_Oxx7zyNv5gE1klaHslLM1sqNFsB1Drt24vWt5BM4_aem_1865n0vlQ0d9cMMxSSQJsw","https://l.facebook.com/","4vnk43","ChromeMobile","Mobile","Android","India","1","5","FALSE","https://clarity.microsoft.com/player/rs3elcrxca/4vnk43/1x90jqe/?ss=1754275855000&sd=8"
"08/04/2025","07:35 AM","01:26","https://teefusion.co.in/product/oversized-t-shirt-men-acid-wash-tidy-titans/","https://teefusion.co.in/product/oversized-t-shirt-men-acid-wash-tidy-titans/","https://teefusion.co.in/shop/?orderby=price-desc&utm_medium=paid&utm_source=an&utm_id=120229197829000711&utm_content=120229197830060711&utm_term=120229197829110711&utm_campaign=120229197829000711&fbclid=IwY2xjawL89KhleHRuA2FlbQEwAGFkaWQBqyPRrgsbtwEeff0UHmuTvuNHIh_f6L_5AURfuQG4aQppIkGwljVp9FI0SEUcdbKWO7YYTVw_aem_RmrlqnyEgTrPIEh9xDaDUQ","bhe5vc","ChromeMobile","Mobile","Android","India","1","2","FALSE","https://clarity.microsoft.com/player/rs3elcrxca/bhe5vc/2ulhj2/?ss=1754273128000&sd=86"
"08/04/2025","07:06 AM","00:19","https://teefusion.co.in/product/oversized-t-shirt-men-acid-wash-tidy-titans/","https://teefusion.co.in/product/oversized-t-shirt-men-acid-wash-tidy-titans/","https://teefusion.co.in/shop/?orderby=price-desc&utm_medium=paid&utm_source=an&utm_id=120229197829000711&utm_content=120229197830060711&utm_term=120229197829110711&utm_campaign=120229197829000711&fbclid=IwY2xjawL87cZleHRuA2FlbQEwAGFkaWQBqyPRrgsbtwEe2uA-fIuB4q5fvxoLZzzQ2PwMRg9MCiH0KedEoGYKOozNgaNgSXToUZGmt-Q_aem_RDYSYC2woLia-3uHmFfMuA","1htcabw","ChromeMobile","Mobile","Android","India","1","4","FALSE","https://clarity.microsoft.com/player/rs3elcrxca/1htcabw/1e3b8tm/?ss=1754271372000&sd=19"
"08/04/2025","06:55 AM","00:13","https://teefusion.co.in/shop/?orderby=price-desc&utm_medium=paid&utm_source=an&utm_id=120229197829000711&utm_content=120229197830060711&utm_term=120229197829110711&utm_campaign=120229197829000711&fbclid=IwY2xjawL86ztleHRuA2FlbQEwAGFkaWQBqyPRrgsbtwEe3aODu5soP9388NPdte-VK9Y1hLd3GhZ_EuTt-S0PTt6nED6zQI03RXgXTgo_aem_gQzP6L_60M6H7rTRt-ZZ-w","https://teefusion.co.in/shop/?orderby=price-desc&utm_medium=paid&utm_source=an&utm_id=120229197829000711&utm_content=120229197830060711&utm_term=120229197829110711&utm_campaign=120229197829000711&fbclid=IwY2xjawL86ztleHRuA2FlbQEwAGFkaWQBqyPRrgsbtwEe3aODu5soP9388NPdte-VK9Y1hLd3GhZ_EuTt-S0PTt6nED6zQI03RXgXTgo_aem_gQzP6L_60M6H7rTRt-ZZ-w","https://l.facebook.com/","1dgessi","ChromeMobile","Mobile","Android","India","1","5","FALSE","https://clarity.microsoft.com/player/rs3elcrxca/1dgessi/1t05ujp/?ss=1754270740000&sd=13"
"08/03/2025","10:59 PM","00:39","https://teefusion.co.in/product-category/men/oversize-men/corporate-confessions-oversize-men/","https://teefusion.co.in/product-category/men/oversize-men/corporate-confessions-oversize-men/","https://teefusion.co.in/product/oversized-t-shirt-men-acid-wash-tidy-titans/","1c20e6d","ChromeMobile","Mobile","Android","India","1","20","FALSE","https://clarity.microsoft.com/player/rs3elcrxca/1c20e6d/1ivy2ho/?ss=1754242192000&sd=39"
"08/03/2025","10:53 PM","00:18","https://teefusion.co.in/product/oversized-t-shirt-men-roleversed/","https://teefusion.co.in/product/oversized-t-shirt-men-roleversed/","https://teefusion.co.in/shop/?orderby=price-desc&utm_medium=paid&utm_source=an&utm_id=120229197829000711&utm_content=120229197830060711&utm_term=120229197829110711&utm_campaign=120229197829000711&fbclid=IwY2xjawL8ej9leHRuA2FlbQEwAGFkaWQBqyPRrgsbtwEeJmPKSSlwfCGFTnAeZI5nqPEaRBJWiRHtWWGDT_g2cdjRmYoLKeMIqpQimtc_aem_t08WJWiIbTA5TbCNGxS1tg","aylcpy","ChromeMobile","Mobile","Android","India","1","3","FALSE","https://clarity.microsoft.com/player/rs3elcrxca/aylcpy/1kpjcpe/?ss=1754241813000&sd=18"
"08/03/2025","10:17 PM","00:09","https://teefusion.co.in/product/oversized-t-shirt-men-truck-slogan/","https://teefusion.co.in/product/oversized-t-shirt-men-truck-slogan/","https://teefusion.co.in/shop/?orderby=price-desc&utm_medium=paid&utm_source=an&utm_id=120229197829000711&utm_content=120229197830060711&utm_term=120229197829110711&utm_campaign=120229197829000711&fbclid=IwY2xjawL8ce9leHRuA2FlbQEwAGFkaWQBqyPRrgsbtwEeZtWF-HrWaRIq9XCFQAunE6goYEy4NUqD1eBlQvChqzTA1xKNWn6KQEXPCTc_aem_G8gQhizD5UkfTv0tUS-bKg","htrea5","ChromeMobile","Mobile","Android","India","1","4","FALSE","https://clarity.microsoft.com/player/rs3elcrxca/htrea5/wocyry/?ss=1754239662000&sd=9"
"08/03/2025","08:13 PM","03:51","https://teefusion.co.in/product/oversized-t-shirt-men-acid-wash-tidy-titans/","https://teefusion.co.in/shop/?orderby=price-desc&utm_medium=paid&utm_source=an&utm_id=120229197371680711&utm_content=120229197372150711&utm_term=120229197372060711&utm_campaign=120229197371680711&fbclid=IwY2xjawL8VQtleHRuA2FlbQEwAGFkaWQBqyPRfebjtwEevnbc7UmQsnxYRz4dspM1MkzW6m9AX-_ZL68HcyaqAMz9DhoiHbpyz1JZIgg_aem_zMhIqgVuaswmy7zHQgEaPQ","https://teefusion.co.in/shop/?orderby=price-desc&utm_medium=paid&utm_source=an&utm_id=120229197371680711&utm_content=120229197372150711&utm_term=120229197372060711&utm_campaign=120229197371680711&fbclid=IwY2xjawL8VO1leHRuA2FlbQEwAGFkaWQBqyPRfebjtwEevnbc7UmQsnxYRz4dspM1MkzW6m9AX-_ZL68HcyaqAMz9DhoiHbpyz1JZIgg_aem_zMhIqgVuaswmy7zHQgEaPQ","6lazm7","ChromeMobile","Mobile","Android","India","2","3","FALSE","https://clarity.microsoft.com/player/rs3elcrxca/6lazm7/utu7zy/?ss=1754232232000&sd=231"
