"Campaign name",Region,Reach,Impressions,Frequency,Currency,"Amount spent (INR)","Link clicks","CPC (cost per link click)","Clicks (all)","CPC (all)","CTR (all)","Adds to cart","Cost per add to cart","Checkouts initiated","Cost per checkout initiated",Purchases,"Reporting starts","Reporting ends"
"Updated Sales Campaign_24/06","Dadra and Nagar Haveli",27,27,1,INR,0.98239192,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",Chandigarh,9,18,2,INR,0.97939049,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2","West Bengal",30,38,1.26666667,INR,0.91,1,0.91,1,0.91,2.63157895,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",Sikkim,72,73,1.01388889,INR,0.86,,,1,0.86,1.36986301,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,Puducherry,1,1,1,INR,0.83,1,0.83,1,0.83,100,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",Tripura,20,24,1.2,INR,0.8200526,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",Nagaland,16,16,1,INR,0.79192818,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...","Arunachal Pradesh",56,56,1,INR,0.76009876,4,0.19002469,3,0.25336625,5.35714286,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",Unknown,40,42,1.05,INR,0.73,1,0.73,1,0.73,2.38095238,,,,,,2025-02-01,2025-08-04
"New Sales Ad_02/08/25",Chandigarh,3,3,1,INR,0.67242113,,,0,0,0,,,,,,2025-02-01,2025-08-04
"New Sales Ad_02/08/25",Manipur,3,3,1,INR,0.64231272,2,0.32115636,2,0.32115636,66.66666667,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",Meghalaya,71,71,1,INR,0.64008316,,,0,0,0,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,Nagaland,1,1,1,INR,0.63,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Unknown,18,18,1,INR,0.61004367,3,0.20334789,3,0.20334789,16.66666667,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",Nagaland,0,64,0,INR,0.56007277,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",Puducherry,24,54,2.25,INR,0.51,,,0,0,0,,,,,,2025-02-01,2025-08-04
