"Campaign name",Region,Reach,Impressions,Frequency,Currency,"Amount spent (INR)","Link clicks","CPC (cost per link click)","Clicks (all)","CPC (all)","CTR (all)","Adds to cart","Cost per add to cart","Checkouts initiated","Cost per checkout initiated",Purchases,"Reporting starts","Reporting ends"
"Traffic Campaign_Flash Sale2_05/05/2025","Punjab region",11115,17799,1.60134953,INR,272.1107299,590,0.46120463,560,0.48591202,3.14624417,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25","Punjab region",3249,5012,1.5426285,INR,264.61894306,716,0.36957953,713,0.37113456,14.22585794,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25","Tamil Nadu",2609,4624,1.77232656,INR,264.39892731,674,0.39228327,661,0.39999838,14.2949827,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06","Tamil Nadu",864,1203,1.39236111,INR,260.36479953,63,4.1327746,72,3.61617777,5.98503741,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...","Uttar Pradesh",29668,32856,1.10745584,INR,257.99352034,197,1.30961178,191,1.35075142,0.58132457,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",Maharashtra,1821,1925,1.05711148,INR,256.00331551,33,7.75767623,48,5.33340241,2.49350649,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",Gujarat,15933,21846,1.37111655,INR,249.58727028,656,0.3804684,627,0.39806582,2.87009063,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",Maharashtra,1236,1408,1.13915858,INR,248.83596228,21,11.84933154,31,8.02696653,2.20170455,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",Rajasthan,1320,2161,1.63712121,INR,245.85804092,86,2.85881443,112,2.19516108,5.18278575,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025","Madhya Pradesh",12143,18880,1.55480524,INR,238.541629,612,0.3897739,589,0.40499428,3.11970339,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25","Madhya Pradesh",3265,4542,1.39111792,INR,233.00668006,564,0.41313241,541,0.43069627,11.9110524,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",Rajasthan,13428,20781,1.54758713,INR,222.6415339,630,0.35339926,609,0.36558544,2.93056157,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",Bihar,3176,3200,1.00755668,INR,213.79857564,100,2.13798576,101,2.11681758,3.15625,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06","Punjab region",752,1340,1.78191489,INR,210.32398814,44,4.78009064,66,3.18672709,4.92537313,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Rajasthan,2849,4110,1.44261144,INR,205.7547292,528,0.38968699,513,0.40108134,12.48175182,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06","Madhya Pradesh",1080,1588,1.47037037,INR,205.73346458,60,3.42889108,83,2.47871644,5.22670025,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Karnataka,2432,3733,1.53495066,INR,205.03467765,529,0.38758918,514,0.39890015,13.76908653,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06","Tamil Nadu",840,1600,1.9047619,INR,203.90325584,47,4.33836715,82,2.48662507,5.125,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",Bihar,1256,1939,1.54378981,INR,203.71323417,74,2.75288154,92,2.21427428,4.74471377,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",Delhi,1112,1570,1.4118705,INR,203.48719745,32,6.35897492,37,5.49965399,2.3566879,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025","West Bengal",14520,19802,1.3637741,INR,199.38437836,519,0.38417029,491,0.40607816,2.47954752,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",Gujarat,4848,5297,1.09261551,INR,195.46411479,362,0.53995612,359,0.54446829,6.77742118,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06","Madhya Pradesh",1520,1751,1.15197368,INR,193.74589546,73,2.65405336,73,2.65405336,4.16904626,,,,,,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,Delhi,1360,1630,1.19852941,INR,189.41173376,22,8.60962426,40,4.73529334,2.45398773,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",Maharashtra,2568,3071,1.19587227,INR,184.53,25,7.3812,33,5.59181818,1.07456854,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",Rajasthan,4320,5075,1.17476852,INR,183.54874071,332,0.55285765,324,0.56650846,6.38423645,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",Rajasthan,1920,2369,1.23385417,INR,182.56440098,72,2.53561668,75,2.43419201,3.16589278,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025","Tamil Nadu",2544,3143,1.23545597,INR,181.71945089,385,0.47199857,369,0.49246464,11.74037544,,,,,,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,"West Bengal",1224,1509,1.23284314,INR,179.52007652,12,14.96000638,24,7.48000319,1.59045726,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025","Madhya Pradesh",3952,4624,1.17004049,INR,170.65374694,307,0.5558754,308,0.55407061,6.66089965,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Delhi,2032,3056,1.50393701,INR,170.23218627,453,0.37578849,450,0.37829375,14.72513089,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06","Uttar Pradesh",1248,1415,1.1338141,INR,168.77082628,48,3.51605888,55,3.06856048,3.8869258,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",Maharashtra,3552,3946,1.11092342,INR,167.91481028,307,0.54695378,296,0.56727976,7.50126711,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06","West Bengal",1337,1484,1.10994764,INR,167.43767636,27,6.20139542,39,4.29327375,2.62803235,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",Kerala,2560,3043,1.18867188,INR,166.69528374,328,0.50821733,309,0.53946694,10.15445284,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",Kerala,472,659,1.39618644,INR,162.98178363,43,3.79027404,43,3.79027404,6.52503794,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",Gujarat,1321,1331,1.00757002,INR,157.38319577,17,9.25783505,22,7.15378163,1.65289256,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",Karnataka,5268,8734,1.6579347,INR,155.52343335,357,0.43563987,345,0.45079256,3.95008015,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Odisha,2160,2890,1.33796296,INR,149.15067713,358,0.416622,350,0.42614479,12.11072664,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Jharkhand,1984,2863,1.44304435,INR,147.71057404,347,0.42567889,339,0.43572441,11.84072651,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",Haryana,832,1166,1.40144231,INR,147.63683847,39,3.78555996,57,2.59011997,4.88850772,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",Haryana,928,1024,1.10344828,INR,146.90963547,33,4.45180714,36,4.08082321,3.515625,,,,,,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,Gujarat,1136,1411,1.24207746,INR,144.60422677,20,7.23021134,30,4.82014089,2.12615167,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,"West Bengal",154,281,1.82467532,INR,144.2,34,4.24117647,35,4.12,12.45551601,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy","West Bengal",4496,4748,1.05604982,INR,143.99,33,4.36333333,63,2.28555556,1.32687447,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",Telangana,6296,9266,1.47172808,INR,141.40229959,339,0.41711593,317,0.44606404,3.42110943,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25","Jammu and Kashmir",2160,2916,1.35,INR,140.79007863,370,0.38051373,360,0.39108355,12.34567901,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025","Andhra Pradesh",8995,12283,1.36553641,INR,135.47242847,372,0.36417319,345,0.39267371,2.80876007,,,,,,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,Karnataka,908,1149,1.2654185,INR,134.97261311,16,8.43578832,26,5.19125435,2.26283725,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",Telangana,688,1236,1.79651163,INR,134.5853499,42,3.20441309,63,2.1362754,5.09708738,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",Telangana,728,998,1.37087912,INR,132.86775868,38,3.49651997,41,3.24067704,4.10821643,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,Maharashtra,125,223,1.784,INR,132.71,10,13.271,12,11.05916667,5.38116592,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",Maharashtra,216,278,1.28703704,INR,127.07091885,2,63.53545943,3,42.35697295,1.07913669,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",Kerala,632,1080,1.70886076,INR,126.75445676,37,3.42579613,54,2.34730475,5,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",Jharkhand,3520,4007,1.13835227,INR,125.50127653,227,0.55286906,230,0.54565772,5.73995508,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",Jharkhand,7710,9894,1.28326848,INR,125.32129317,302,0.41497117,289,0.43363769,2.9209622,,,,,,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,Telangana,968,1173,1.21177686,INR,123.45068274,15,8.23004552,21,5.87860394,1.79028133,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06","Uttar Pradesh",1573,1697,1.07883026,INR,122.83908796,17,7.2258287,27,4.54959585,1.59104302,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",Maharashtra,10625,11864,1.11661176,INR,122.22588045,95,1.28658822,94,1.30027532,0.79231288,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Haryana,1584,2388,1.50757576,INR,121.6087055,278,0.43744139,281,0.43277119,11.76716918,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06","Punjab region",880,1079,1.22613636,INR,121.29621206,37,3.278276,40,3.0324053,3.70713624,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",Odisha,3056,3396,1.11125654,INR,120.78310826,236,0.51179283,231,0.5228706,6.80212014,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Uttarakhand,1536,2278,1.48307292,INR,117.79843274,322,0.36583364,331,0.3558865,14.53028973,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",Chhattisgarh,6489,8541,1.31622746,INR,115.3209173,286,0.40321999,277,0.416321,3.24317996,,,,,,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,"Uttar Pradesh",980,1064,1.08571429,INR,114.29914951,14,8.16422496,25,4.57196598,2.34962406,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",Odisha,432,775,1.79398148,INR,112.8428701,42,2.686735,52,2.17005519,6.70967742,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25","Himachal Pradesh",1312,2007,1.52972561,INR,112.72806977,294,0.38342881,285,0.39553709,14.20029895,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",Odisha,632,795,1.25791139,INR,109.70466278,33,3.32438372,35,3.13441894,4.40251572,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06","Andhra Pradesh",696,893,1.28304598,INR,107.70439543,33,3.26376956,36,2.99178876,4.03135498,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06","Andhra Pradesh",560,945,1.6875,INR,105.10198723,36,2.91949965,44,2.38868153,4.65608466,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025","Punjab region",2320,2552,1.1,INR,103.21992683,182,0.56714246,176,0.58647686,6.89655172,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",Rajasthan,11394,12826,1.12568018,INR,102.63333485,93,1.10358425,91,1.12783884,0.70949634,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",Karnataka,604,679,1.12417219,INR,100.89566022,17,5.93503884,21,4.80455525,3.09278351,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25","Andhra Pradesh",1232,1713,1.39042208,INR,98.9170811,241,0.41044432,230,0.43007427,13.42673672,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",Haryana,5011,8746,1.74536021,INR,97.31019011,265,0.36720826,253,0.38462526,2.89275097,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",Jharkhand,520,899,1.72884615,INR,96.97105987,31,3.12809871,40,2.4242765,4.44938821,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",Delhi,562,638,1.13523132,INR,96.54619323,5,19.30923865,13,7.42663025,2.03761755,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Chhattisgarh,1424,1838,1.29073034,INR,96.09687921,193,0.49791129,191,0.50312502,10.39173014,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",Assam,528,701,1.32765152,INR,95.96282609,41,2.34055673,45,2.13250725,6.41940086,,,,,,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,"Tamil Nadu",624,703,1.12660256,INR,94.03575461,11,8.54870496,19,4.94925024,2.7027027,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",Jharkhand,936,1057,1.1292735,INR,93.05243709,40,2.32631093,45,2.06783194,4.25733207,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",Karnataka,1328,1926,1.4503012,INR,92.57405989,168,0.55103607,166,0.55767506,8.61889927,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...","West Bengal",8545,10672,1.2489175,INR,91.17184569,68,1.34076244,68,1.34076244,0.63718141,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...","Madhya Pradesh",10209,12253,1.2002155,INR,89.78166507,80,1.12227081,77,1.16599565,0.62841753,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Telangana,1136,1562,1.375,INR,86.7262084,229,0.37871707,231,0.37543813,14.78873239,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",Gujarat,7809,10074,1.29004994,INR,84.69100365,77,1.09988316,77,1.09988316,0.76434386,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025","Jammu and Kashmir",1984,2356,1.1875,INR,83.5175759,142,0.58815194,135,0.61864871,5.73005093,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy","Uttar Pradesh",5384,6408,1.19019316,INR,83.49,51,1.63705882,69,1.21,1.07677903,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",Delhi,787,787,1,INR,82.99206865,11,7.54473351,16,5.18700429,2.03303685,,,,,,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,Haryana,232,242,1.04310345,INR,82.60383932,4,20.65095983,7,11.80054847,2.89256198,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy","West Bengal",280,323,1.15357143,INR,81.21945399,2,40.609727,5,16.2438908,1.54798762,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",Assam,464,824,1.77586207,INR,80.12913899,32,2.50403559,36,2.22580942,4.36893204,,,,,,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,Rajasthan,636,784,1.2327044,INR,80.08341705,8,10.01042713,23,3.4818877,2.93367347,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,"Uttar Pradesh",128,194,1.515625,INR,78.61,27,2.91148148,31,2.53580645,15.97938144,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",Gujarat,742,877,1.1819407,INR,78.24501925,11,7.11318357,18,4.34694551,2.05245154,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06","West Bengal",782,968,1.23785166,INR,77.71498525,23,3.3789124,30,2.59049951,3.09917355,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",Bihar,9185,10438,1.13641807,INR,75.27978088,59,1.27592849,59,1.27592849,0.56524238,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",Haryana,1632,2096,1.28431373,INR,73.62141789,141,0.52213772,140,0.52586727,6.67938931,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",Odisha,3919,6848,1.74738454,INR,72.27407323,200,0.36137037,193,0.37447706,2.81834112,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",Bihar,446,514,1.15246637,INR,69.58446369,15,4.63896425,18,3.86580354,3.50194553,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06","Madhya Pradesh",462,546,1.18181818,INR,68.38438671,22,3.10838121,27,2.53275506,4.94505495,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",Rajasthan,650,724,1.11384615,INR,66.88429048,17,3.93437003,21,3.18496621,2.90055249,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",Chhattisgarh,416,577,1.38701923,INR,64.52862469,31,2.08156854,32,2.01651952,5.54592721,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",Chhattisgarh,1408,1661,1.1796875,INR,64.38500375,110,0.58531822,111,0.58004508,6.68272125,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06","Jammu and Kashmir",344,420,1.22093023,INR,62.82839744,19,3.30675776,20,3.14141987,4.76190476,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",Kerala,3341,4722,1.4133493,INR,62.50486183,149,0.41949572,143,0.43709694,3.02837781,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy","Uttar Pradesh",224,283,1.26339286,INR,62.0114079,3,20.6704693,4,15.50285198,1.41342756,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,Delhi,74,114,1.54054054,INR,60.43,7,8.63285714,8,7.55375,7.01754386,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",Chhattisgarh,344,620,1.80232558,INR,59.81682231,29,2.06264905,41,1.45894689,6.61290323,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025","Jammu and Kashmir",3341,5642,1.68871595,INR,59.10774923,130,0.45467499,123,0.48055081,2.18007799,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,Rajasthan,54,77,1.42592593,INR,58.61,9,6.51222222,11,5.32818182,14.28571429,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",Uttarakhand,288,436,1.51388889,INR,58.15663296,18,3.23092405,23,2.52854926,5.27522936,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",Uttarakhand,3469,4918,1.41769963,INR,56.80615518,171,0.33219974,162,0.35065528,3.29402196,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",Rajasthan,2312,2641,1.14230104,INR,56.07,24,2.33625,32,1.7521875,1.21166225,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025","Andhra Pradesh",832,1093,1.31370192,INR,55.22855857,114,0.48446104,109,0.50668402,9.97255261,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",Bihar,953,1114,1.16894019,INR,52.73840719,22,2.39720033,29,1.81856577,2.6032316,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06","Punjab region",441,441,1,INR,52.28730886,14,3.73480778,16,3.2679568,3.62811791,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,Bihar,59,78,1.3220339,INR,51.93,10,5.193,10,5.193,12.82051282,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,Kerala,34,47,1.38235294,INR,50.91,19,2.67947368,18,2.82833333,38.29787234,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",Assam,3791,5154,1.35953574,INR,50.57476519,123,0.41117695,117,0.43226295,2.27008149,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06","Tamil Nadu",584,593,1.01541096,INR,50.13206128,12,4.17767177,16,3.13325383,2.69814503,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",Haryana,302,327,1.08278146,INR,49.30316269,5,9.86063254,7,7.04330896,2.14067278,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",Unknown,1992,2849,1.43022088,INR,49.26818342,106,0.46479418,103,0.47833188,3.61530362,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06","Madhya Pradesh",641,662,1.03276131,INR,49.25993783,14,3.51856699,19,2.59262831,2.87009063,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",Karnataka,362,446,1.2320442,INR,49.10314986,3,16.36771662,7,7.01473569,1.56950673,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025","Himachal Pradesh",1328,1424,1.07228916,INR,49.09094138,91,0.53946089,87,0.56426369,6.10955056,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",Uttarakhand,400,474,1.185,INR,48.08642708,14,3.43474479,15,3.20576181,3.16455696,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",Bihar,3864,4201,1.08721532,INR,47.7,33,1.44545455,43,1.10930233,1.02356582,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",Rajasthan,665,728,1.09473684,INR,47.47559332,9,5.27506592,10,4.74755933,1.37362637,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,"Madhya Pradesh",48,66,1.375,INR,47.4,7,6.77142857,7,6.77142857,10.60606061,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",Manipur,1120,1348,1.20357143,INR,47.18168261,88,0.53615548,86,0.54862422,6.37982196,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",Tripura,1184,1435,1.21199324,INR,46.62189994,82,0.56855976,80,0.58277375,5.57491289,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Tripura,624,1025,1.64262821,INR,45.46325454,90,0.50514727,93,0.4888522,9.07317073,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",Uttarakhand,1120,1284,1.14642857,INR,45.25243161,73,0.61989632,80,0.5656554,6.2305296,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales","Uttar Pradesh",174,191,1.09770115,INR,44.89859583,51,0.88036462,52,0.86343454,27.22513089,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Puducherry,384,719,1.87239583,INR,44.63319512,119,0.37506887,118,0.37824742,16.41168289,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",Gujarat,2144,2430,1.13339552,INR,44.29,14,3.16357143,23,1.92565217,0.94650206,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06","Himachal Pradesh",256,256,1,INR,43.31578945,17,2.54798761,21,2.06265664,8.203125,,,,,,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,"Madhya Pradesh",508,571,1.12401575,INR,42.0470445,4,10.51176112,5,8.4094089,0.87565674,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",Telangana,396,458,1.15656566,INR,42.02231571,9,4.66914619,13,3.23248582,2.83842795,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,Gujarat,58,78,1.34482759,INR,41.84,8,5.23,7,5.97714286,8.97435897,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...","Tamil Nadu",2592,2751,1.06134259,INR,41.53539657,25,1.66141586,25,1.66141586,0.90876045,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",Haryana,3232,3788,1.1720297,INR,41.46538748,39,1.06321506,39,1.06321506,1.02956705,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",Chhattisgarh,4321,5310,1.2288822,INR,40.25523024,33,1.21985546,33,1.21985546,0.62146893,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Manipur,576,942,1.63541667,INR,39.57283287,99,0.39972558,95,0.41655614,10.08492569,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",Chhattisgarh,31,40,1.29032258,INR,39.44545157,1,39.44545157,1,39.44545157,2.5,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy","Punjab region",1296,1369,1.05632716,INR,39.14,8,4.8925,14,2.79571429,1.02264427,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",Karnataka,3392,3817,1.12529481,INR,38.41499115,42,0.91464265,40,0.96037478,1.04794341,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",Telangana,318,371,1.16666667,INR,37.03237555,6,6.17206259,7,5.29033936,1.88679245,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",Karnataka,81,132,1.62962963,INR,36.78710596,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",Delhi,2056,3095,1.50535019,INR,36.66469464,83,0.44174331,81,0.45265055,2.61712439,,,,,,2025-02-01,2025-08-04
"New Sales Ad_02/08/25","West Bengal",91,115,1.26373626,INR,36.2003435,14,2.58573882,15,2.41335623,13.04347826,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,Jharkhand,27,40,1.48148148,INR,36.02,3,12.00666667,3,12.00666667,7.5,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,Karnataka,52,82,1.57692308,INR,35.24,6,5.87333333,10,3.524,12.19512195,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",Haryana,372,388,1.04301075,INR,34.9350597,7,4.99072281,9,3.8816733,2.31958763,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",Delhi,672,1194,1.77678571,INR,34.26445188,26,1.31786353,25,1.37057808,2.09380235,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales","West Bengal",94,112,1.19148936,INR,33.93869128,14,2.42419223,14,2.42419223,12.5,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Meghalaya,608,847,1.39309211,INR,33.93242909,85,0.39920505,84,0.40395749,9.91735537,,,,,,2025-02-01,2025-08-04
"New Sales Ad_02/08/25","Uttar Pradesh",115,124,1.07826087,INR,33.89203216,26,1.3035397,27,1.25526045,21.77419355,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",Goa,272,559,2.05514706,INR,33.29238328,76,0.43805767,78,0.42682543,13.95348837,,,,,,2025-02-01,2025-08-04
