"Campaign name","Device platform",Reach,Impressions,Frequency,Currency,"Amount spent (INR)","Link clicks","CPC (cost per link click)","Clicks (all)","CPC (all)","CTR (all)","Adds to cart","Cost per add to cart","Checkouts initiated","Cost per checkout initiated",Purchases,"Reporting starts","Reporting ends"
"New Sales Ad_02/08/25",desktop,13,21,1.61538462,INR,2.90290755,1,2.90290755,1,2.90290755,4.76190476,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",desktop,20,20,1,INR,0.5527846,1,0.5527846,1,0.5527846,5,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",mobile_web,18,18,1,INR,0.80005132,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",mobile_web,12,13,1.08333333,INR,10.68335134,1,10.68335134,0,0,0,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",desktop,9,11,1.22222222,INR,1.13301934,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",mobile_web,6,6,1,INR,0.08240141,,,0,0,0,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,mobile_web,4,4,1,INR,11.95,,,0,0,0,,,,,,2025-02-01,2025-08-04
"New Sales Ad_02/08/25",mobile_web,4,4,1,INR,0.21093792,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",desktop,2,2,1,INR,2.06,1,2.06,1,2.06,50,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",desktop,0,1,0,INR,0.0500065,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",mobile_web,0,1,0,INR,0.00999612,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",desktop,0,1,0,INR,0,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",unknown,0,0,0,INR,0,,,0,0,0,,,,,1,2025-02-01,2025-08-04
