# ----------------------------------------
# Landing page: Landing page
# Account: TeeFusion Wordpress
# Property: TeeFusion Wordpress
# ----------------------------------------
# 
# All Users
# Start date: 20250201
# End date: 20250804
Landing page,Sessions,Active users,New users,Average engagement time per session,Key events,Total revenue,Session key event rate
/product/printed-t-shirt-crop-tops-they-called-me-difficult-i-called-it-standards,2,1,0,29.5,0,0,0
/product/printed-t-shirt-crop-tops-unstoppable-unapologetics-unbreakable,2,2,0,46.5,0,0,0
/product/printed-t-shirt-crop-tops-was-my-ambition-too-loud,2,1,0,13,0,0,0
/product/printed-t-shirt-regular-men-abhi-theek-kar-ke-deta-hun,2,2,2,20.5,0,0,0
/product/printed-t-shirt-regular-men-atrangi,2,2,1,120,0,0,0
/product/printed-t-shirt-regular-men-jolly-cosmonaut,2,2,2,0,0,0,0
/product/printed-t-shirt-regular-women-rock-out-looney-style,2,2,1,24.5,0,0,0
/product/printed-t-shirt-regular-women-timeless,2,1,1,28.5,0,0,0
/product/women-regular-solid-white,2,2,2,0,0,0,0
/products/crop-tops-solid-grey,2,2,2,22,0,0,0
/products/oversized-t-shirt-men-anime-1,2,2,2,0.5,0,0,0
/products/printed-t-shirt-crop-tops-front-a-good-day-3,2,2,2,1,0,0,0
/products/spirit-of-serenity,2,2,2,0,0,0,0
/checkout/order-pay/60617,1,1,0,9,0,0,0
/checkout/order-received/58830,1,1,0,181,0,0,0
/my-account/lost-password,1,1,0,183,0,0,0
/my-account/view-order/59253,1,1,0,16,0,0,0
/pages/about-tee-fusion,1,1,1,373,0,0,0
/portfolio/mens-fashion,1,1,1,4,0,0,0
/product-category/all,1,1,0,74,0,0,0
/product-category/empowher,1,1,0,7,0,0,0
/product-category/galactic-heroes,1,1,0,181,0,0,0
/product-category/men/oversize-men/galactic-heroes-oversize-men,1,1,1,65,0,0,0
/product-category/men/oversize-men/wit-happens-oversize-men,1,1,0,2,0,0,0
/product-category/men/regular-men/galactic-heroes-regular-men,1,1,0,2,0,0,0
/product-category/where-comfort-meets-chic-crew-neck-t-shirts,1,1,1,16,0,0,0
/product-category/women/oversize-women,1,1,1,16,0,0,0
/product-category/women/regular-women,1,1,0,72,0,0,0
/product-category/women/regular-women/corporate-confessions-regular-women,1,1,1,45,0,0,0
